API Key,depth,2022
RevenueFromContractWithCustomerExcludingAssessedTax,1,3378000000
CurrentFederalTaxExpenseBenefit,2,-91000000
CurrentStateAndLocalTaxExpenseBenefit,2,-1000000
DeferredFederalIncomeTaxExpenseBenefit,2,0
DeferredStateAndLocalIncomeTaxExpenseBenefit,2,0
NetIncomeLossAvailableToCommonStockholdersDiluted,0,-4585000000
NetIncomeLossAvailableToCommonStockholdersBasic,1,-4585000000
NetIncomeLoss,2,-4585000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5,-4682000000
OperatingIncomeLoss,7,-3590000000
EquitySecuritiesFvNiRealizedGainLoss,12,-13400000
CostOfRevenue,9,876000000
ResearchAndDevelopmentExpense,10,2753000000
AmortizationOfIntangibleAssets,12,36200000
OtherDepreciationAndAmortization,11,126000000
RestructuringCharges,11,151400000
AssetImpairmentCharges,11,36000000
ImpairmentOfIntangibleAssetsExcludingGoodwill,13,35800000
OperatingLeaseImpairmentLoss,13,35800000
EquityMethodInvestmentOtherThanTemporaryImpairment,12,29000000
ImpairmentOfLeasehold,12,37200000
SellingAndMarketingExpense,10,1175000000
AdvertisingExpense,12,176000000
GeneralAndAdministrativeExpense,10,1135000000
AllocatedShareBasedCompensationExpense,11,3003000000
ProvisionForDoubtfulAccounts,9,107700000
InvestmentIncomeNonoperating,8,27000000
ForeignCurrencyTransactionGainLossBeforeTax,8,53000000
OtherNonoperatingIncomeExpense,8,-947000000
GainsLossesOnExtinguishmentOfDebt,8,0
IncomeLossFromEquityMethodInvestments,6,-8200000
IncomeTaxExpenseBenefit,5,-97000000
CurrentIncomeTaxExpenseBenefit,6,-77000000
CurrentForeignTaxExpenseBenefit,7,15000000
CurrentFederalTaxExpenseBenefit,8,-91000000
CurrentStateAndLocalTaxExpenseBenefit,8,-1000000
DeferredIncomeTaxExpenseBenefit,6,-20000000
DeferredForeignIncomeTaxExpenseBenefit,7,-20000000
DeferredFederalIncomeTaxExpenseBenefit,8,0
DeferredStateAndLocalIncomeTaxExpenseBenefit,8,0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,6,39900000
IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,6,-95600000
TaxAdjustmentsSettlementsAndUnusualProvisions,6,196400000
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,2,0
