API Key,depth,2022
RevenueFromContractWithCustomerExcludingAssessedTax,1,513983000000
NetIncomeLoss,2,-2722000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,6,-5936000000
OperatingIncomeLoss,7,12248000000
CostOfGoodsAndServicesSold,10,288831000000
AmortizationOfIntangibleAssets,12,604000000
FinanceLeaseRightOfUseAssetAmortization,12,6097000000
SeveranceCosts1,12,640000000
AssetImpairmentCharges,11,720000000
GoodwillAndIntangibleAssetImpairment,12,0
MarketingExpense,12,42238000000
AdvertisingExpense,12,20600000000
GeneralAndAdministrativeExpense,10,11891000000
AllocatedShareBasedCompensationExpense,11,19621000000
ProvisionForDoubtfulAccounts,9,1600000000
OtherOperatingIncomeExpenseNet,8,-1263000000
NonoperatingIncomeExpense,7,-18184000000
InvestmentIncomeInterest,11,989000000
GainLossOnContractTermination,8,-480000000
ForeignCurrencyTransactionGainLossBeforeTax,8,-340000000
OtherNonoperatingIncomeExpense,8,-16806000000
FinanceLeaseInterestExpense,9,361000000
IncomeLossFromEquityMethodInvestments,6,-3000000
IncomeTaxExpenseBenefit,5,-3217000000
DeferredIncomeTaxExpenseBenefit,6,-8148000000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,6,4300000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,6,-7000000
