CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,15,2025,22839951417.014435,4228472592.8944097,8386250098.069489,-4157777505.175079,3171354444.6708074
0000002969,16,2024,14877935189.146856,2754425350.4541955,5462799949.132461,-2708374598.678265,2065819012.8406467
0000002969,16,2025,20278479650.15193,3754254720.6277304,7445742718.5288,-3691487997.9010696,2815691040.4707975
0000002969,17,2024,15091753810.928043,2794010644.0279236,5541308716.736308,-2747298072.7083845,2095507983.0209427
0000002969,17,2025,12125508815.190893,2244855112.1583962,4452178887.507868,-2207323775.3494716,1683641334.1187973
0000002969,18,2024,13593965029.018675,2516717636.7612586,4991358715.099364,-2474641078.3381057,1887538227.5709438
0000002969,18,2025,11329615135.02193,2097507398.8464804,4159946941.3226547,-2062439542.4761744,1573130549.1348603
0000002969,19,2024,11572226869.591663,2142423303.0711482,4249027808.6887984,-2106604505.6176503,1606817477.3033612
0000002969,19,2025,11530425848.319307,2134684474.315432,4233679535.2908278,-2098995060.9753957,1601013355.7365742
0000002969,20,2024,11044981902.201794,2044811847.8782635,4055436847.0116167,-2010624999.1333532,1533608885.9086976
0000002969,20,2025,15579568898.22753,2884322251.499631,5720422027.838081,-2836099776.3384504,2163241688.6247234
0000002969,21,2024,6722437731.443849,1244557975.8840525,2468308406.408874,-1223750430.5248215,933418481.9130394
0000002969,21,2025,6791099328.552795,1257269635.2154844,2493519201.080686,-1236249565.8652017,942952226.4116132
0000002969,22,2024,13714635982.154648,2539058044.093027,5035666024.431766,-2496607980.3387384,1904293533.0697703
0000002969,22,2025,13998223828.51258,2591560057.521531,5139792279.38338,-2548232221.861849,1943670043.1411483
0000002969,23,2024,15273776707.281054,2827709438.497977,5608142901.473416,-2780433462.9754395,2120782078.8734827
0000002969,23,2025,16658711669.581553,3084109262.8280063,6116655846.678737,-3032546583.8507304,2313081947.1210046
0000002969,24,2024,15830517222.54325,2930781549.605288,5812563879.236037,-2881782329.630749,2198086162.203966
0000002969,24,2025,19472283762.241276,3604999708.9031916,7149728063.304208,-3544728354.401016,2703749781.677394
0000002969,25,2024,10981644969.99523,2033085969.9609418,4032181134.0623746,-1999095164.1014328,1524814477.4707065
0000002969,25,2025,12558407856.219807,2324999841.762217,4611128421.112326,-2286128579.3501086,1743749881.321663
0000002969,26,2024,15106505596.566307,2796741714.691287,5546725197.774155,-2749983483.0828676,2097556286.0184653
0000002969,26,2025,18131840687.250656,3356836886.5991745,6657551409.166383,-3300714522.5672083,2517627664.949381
0000002969,27,2024,16550030033.136532,3063988496.6902843,6076750709.94467,-3012762213.2543855,2297991372.517713
0000002969,27,2025,17335029737.675957,3209319354.688627,6364982664.951114,-3155663310.262487,2406989516.01647
0000002969,28,2024,8117729332.245758,1502875175.6610854,2980624046.246172,-1477748870.5850866,1127156381.745814
0000002969,28,2025,9659377117.862017,1788288016.0981524,3546677960.1648273,-1758389944.066675,1341216012.0736144
0000002969,29,2024,15238850864.146935,2821243445.301234,5595319018.880108,-2774075573.578874,2115932583.9759254
0000002969,29,2025,16357881867.971518,3028415161.3823137,6006198783.649477,-2977783622.2671633,2271311371.0367355
0000002969,30,2024,17259198558.679073,3195280355.383386,6337139381.8946705,-3141859026.5112844,2396460266.5375395
0000002969,30,2025,17001234345.744244,3147522171.295047,6242421474.377075,-3094899303.0820284,2360641628.471285
0000002969,31,2024,12433639320.879759,2301900828.8743024,4565316583.660167,-2263415754.7858644,1726425621.655727
0000002969,31,2025,13096228573.87943,2424569237.6419477,4808602529.698078,-2384033292.0561304,1818426928.2314608
0000002969,32,2024,10606284048.77675,1963593555.601708,3894358136.766726,-1930764581.165018,1472695166.701281
0000002969,32,2025,9621561648.582827,1781287052.1943774,3532793080.2383795,-1751506028.044002,1335965289.145783
0000002969,33,2024,12219268439.243364,2262213292.71611,4486605040.263134,-2224391747.547024,1696659969.5370827
0000002969,33,2025,11779785461.751575,2180849646.5577693,4325238052.400594,-2144388405.8428245,1635637234.9183269
0000002969,34,2024,14009058419.18151,2593565918.6051354,5143770465.912804,-2550204547.307668,1945174438.9538517
