CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,11,2024,14662153010.519087,2714476533.939513,5383570213.322658,-2669093679.3831444,2035857400.454635
0000002969,11,2025,20819788938.397312,3854469972.745984,7644497741.635024,-3790027768.88904,2890852479.5594883
0000002969,11,2026,21344523208.57901,3951616610.210496,7837166839.061104,-3885550228.850608,2963712457.657872
0000002969,11,2027,25322026630.546505,4687991390.561573,9297605079.647644,-4609613689.086071,3515993542.92118
0000002969,11,2028,28642801838.16209,5302782845.069897,10516909398.735958,-5214126553.666061,3977087133.8024225
0000002969,12,2024,12710528572.769878,2353162698.547642,4666983284.846234,-2313820586.298592,1764872023.9107318
0000002969,12,2025,16829257825.75445,3115683311.9156666,6179276063.894474,-3063592751.9788074,2336762483.93675
0000002969,12,2026,23021792823.361057,4262137787.226534,8453017644.2855215,-4190879857.0589876,3196603340.4199004
0000002969,12,2027,26490087698.52169,4904240283.677899,9726487438.765137,-4822247155.087237,3678180212.7584248
0000002969,12,2028,26941055214.852024,4987730119.022643,9892071257.618362,-4904341138.595719,3740797589.266982
0000002969,13,2024,17243536502.758873,3192380761.9036202,6331388672.727272,-3139007910.823652,2394285571.4277153
0000002969,13,2025,16921034544.154106,3132674387.39272,6212974144.0535345,-3080299756.6608143,2349505790.5445404
0000002969,13,2026,19488324260.734695,3607969365.3187156,7155617726.973252,-3547648361.6545367,2705977023.9890366
0000002969,13,2027,20490541548.127926,3793514783.2792068,7523606461.766588,-3730091678.4873815,2845136087.459405
0000002969,13,2028,18478944576.02331,3421097937.499172,6784999141.786843,-3363901204.287671,2565823453.124379
0000002969,14,2024,16554887696.387024,3064887819.790635,6078534320.521025,-3013646500.7303896,2298665864.8429766
0000002969,14,2025,21117518799.182827,3909590166.8931565,7753816585.122175,-3844226418.2290187,2932192625.1698675
0000002969,14,2026,28757353918.165943,5323990435.309975,10558970013.254198,-5234979577.944223,3992992826.482481
0000002969,14,2027,34921992053.032265,6465280227.151456,12822468574.138765,-6357188346.987309,4848960170.363592
0000002969,14,2028,37682795249.66831,6976401307.849306,13836165392.306782,-6859764084.457476,5232300980.88698
0000002969,15,2024,14659736968.083128,2714029240.1148815,5382683103.8999815,-2668653863.7851,2035521930.0861611
0000002969,15,2025,17990930845.209362,3330749554.1761804,6605812893.831474,-3275063339.655294,2498062165.6321354
0000002969,15,2026,21323542210.06938,3947732294.716574,7829463149.259125,-3881730854.5425506,2960799221.037431
0000002969,15,2027,21321539122.185513,3947361453.2001696,7828727666.260241,-3881366213.060071,2960521089.9001274
0000002969,15,2028,30337646010.25485,5616557686.358847,11139213135.066904,-5522655448.708057,4212418264.769135
0000002969,16,2024,15331346338.37119,2838367587.5808306,5629281007.923845,-2790913420.3430147,2128775690.685623
0000002969,16,2025,20192062866.768513,3738255956.294516,7414012670.382367,-3675756714.087851,2803691967.220887
0000002969,16,2026,20502666401.749317,3795759517.092113,7528058400.083573,-3732298882.9914603,2846819637.8190846
0000002969,16,2027,24631471533.3719,4560145527.452112,9044050785.87236,-4483905258.420248,3420109145.589084
0000002969,16,2028,29888544432.38758,5533413301.383372,10974314441.428402,-5440901140.04503,4150059976.037529
0000002969,17,2024,13908280775.816336,2574908457.598949,5106767474.7013235,-2531859017.1023746,1931181343.1992116
0000002969,17,2025,14756984646.465113,2732033181.33406,5418389981.619538,-2686356800.285478,2049024886.000545
0000002969,17,2026,20436341798.356728,3783480516.9068832,7503705690.152186,-3720225173.245303,2837610387.6801624
0000002969,17,2027,16055893845.748104,2972506632.855285,5895316451.426112,-2922809818.570827,2229379974.6414638
0000002969,17,2028,20604684480.185165,3814646625.9466605,7565516847.549891,-3750870221.603231,2860984969.4599953
0000002969,18,2024,15501466493.386948,2869862768.9780736,5691744808.333758,-2821882039.3556848,2152397076.7335553
0000002969,18,2025,19323003336.305378,3577362689.095202,7094916082.149459,-3517553393.054257,2683022016.8214016
0000002969,18,2026,22088057336.283226,4089270741.9323707,8110173687.347674,-4020902945.4153037,3066953056.449278
0000002969,18,2027,31558275678.220966,5842538863.062384,11587397349.025513,-5744858485.963129,4381904147.296787
0000002969,18,2028,31963841988.870502,5917623349.796683,11736310998.199244,-5818687648.40256,4438217512.347512
0000002969,19,2024,14166274261.71386,2622672061.134914,5201496130.50738,-2578824069.3724656,1967004045.8511853
0000002969,19,2025,13132339157.058754,2431254567.5929327,4821861418.74735,-2390606851.154417,1823440925.6946995
0000002969,19,2026,14053401384.045292,2601775349.8859086,5160052076.440248,-2558276726.554339,1951331512.4144316
0000002969,19,2027,15862937840.342167,2936783738.1084256,5824467906.711031,-2887684168.6026053,2202587803.5813193
0000002969,19,2028,17696497542.609016,3276239668.0669875,6497704462.787805,-3221464794.720817,2457179751.0502405
0000002969,20,2024,13414503870.78281,2483493109.4742107,4925465135.538856,-2441972026.064645,1862619832.105658
0000002969,20,2025,13074697334.651098,2420583053.376239,4800696805.478558,-2380113752.102319,1815437290.032179
0000002969,20,2026,16670562571.626614,3086303278.637571,6121007196.934393,-3034703918.296822,2314727458.978178
0000002969,20,2027,17492185021.54714,3238414285.695476,6422686093.943307,-3184271808.247831,2428810714.271607
0000002969,20,2028,22098731098.570866,4091246828.066369,8114092821.780019,-4022845993.7136497,3068435121.049777
0000002969,21,2024,15192422348.986141,2812647905.8317432,5578271647.249958,-2765623741.418215,2109485929.3738074
0000002969,21,2025,13095441344.139044,2424423493.92644,4808313478.930545,-2383889985.004105,1818317620.44483
0000002969,21,2026,14110432025.922153,2612333713.24354,5180992279.740177,-2568658566.4966373,1959250284.9326549
0000002969,21,2027,16265718384.973072,3011352482.2719584,5972358693.352334,-2961006211.0803757,2258514361.703969
0000002969,21,2028,17633182866.356068,3264517910.5038724,6474456921.659499,-3209939011.155627,2448388432.8779044
0000002969,22,2024,11252592241.542171,2083247771.5750332,4131666090.9738646,-2048418319.3988314,1562435828.681275
0000002969,22,2025,11868578894.798704,2197288411.7378516,4357840745.944183,-2160552334.2063317,1647966308.8033886
0000002969,22,2026,15155821628.9228,2805871834.4276357,5564832792.384796,-2758960957.9571605,2104403875.8207269
0000002969,22,2027,14400311360.48531,2666000500.8415933,5287428609.376923,-2621428108.5353293,1999500375.631195
0000002969,22,2028,14968661872.462484,2771222027.769304,5496112483.076224,-2724890455.3069205,2078416520.8269777
0000002969,23,2024,15133011951.238226,2801648966.559794,5556457658.032422,-2754808691.472628,2101236724.9198456
0000002969,23,2025,17373523022.441517,3216445805.908676,6379116421.509795,-3162670615.601119,2412334354.431507
0000002969,23,2026,20731108938.554638,3838052208.013206,7611936697.883266,-3773884489.8700604,2878539156.0099044
0000002969,23,2027,33053778100.45392,6119408585.311812,12136507857.455553,-6017099272.143741,4589556438.983859
0000002969,23,2028,43809725509.72729,8110710055.281017,16085818579.222403,-7975108523.941385,6083032541.460763
0000002969,24,2024,12326676054.529724,2282098193.0477366,4526042388.7838335,-2243944195.736097,1711573644.7858024
0000002969,24,2025,10522744089.968271,1948127391.9578557,3863684385.542,-1915556993.584144,1461095543.968392
0000002969,24,2026,13351790250.623333,2471882628.3832574,4902438286.943157,-2430555658.5599,1853911971.2874432
0000002969,24,2027,15308625581.454271,2834161182.052252,5620938523.01905,-2786777340.966798,2125620886.5391889
0000002969,24,2028,16195435882.342075,2998340736.725345,5946552743.338679,-2948212006.613334,2248755552.5440087
0000002969,25,2024,12604441076.756285,2333522198.392808,4628030650.595655,-2294508452.2028475,1750141648.794606
0000002969,25,2025,14801557907.298832,2740285248.440951,5434756150.978357,-2694470902.5374064,2055213936.3307133
0000002969,25,2026,17419552928.078995,3224967548.8357034,6396017433.8464,-3171049885.010697,2418725661.6267776
0000002969,25,2027,17976010109.492096,3327987204.9533496,6600334378.615414,-3272347173.662064,2495990403.715012
0000002969,25,2028,23590333653.325993,4367394548.659804,8661771397.916456,-4294376849.256652,3275545911.494853
0000002969,26,2024,13947063193.418608,2582088437.403776,5121007393.49459,-2538918956.0908136,1936566328.0528321
0000002969,26,2025,14796161893.394846,2739286257.835091,5432774871.714437,-2693488613.8793454,2054464693.3763185
0000002969,26,2026,18382608548.1275,3403262774.6203976,6749626998.972781,-3346364224.3523836,2552447080.965298
0000002969,26,2027,21209593194.742413,3926636352.8075886,7787623964.774307,-3860987611.9667187,2944977264.6056914
0000002969,26,2028,19807570269.596176,3667072949.8323007,7272836753.592042,-3605763803.7597413,2750304712.3742256
0000002969,27,2024,13230443937.835796,2449417188.3959966,4857883002.698691,-2408465814.302695,1837062891.2969975
0000002969,27,2025,15447442270.15644,2859860998.6979303,5671908485.607281,-2812047486.9093504,2144895749.0234478
0000002969,27,2026,17393569569.98339,3220157121.896845,6386477004.648503,-3166319882.7516584,2415117841.4226336
0000002969,27,2027,21382044849.53369,3958563176.2307324,7850943832.689099,-3892380656.458367,2968922382.1730494
0000002969,27,2028,20424812236.95671,3781345992.4721355,7499472328.020358,-3718126335.5482225,2836009494.3541017
0000002969,28,2024,9961260761.90715,1844177220.579429,3657521967.3720026,-1813344746.7925737,1383132915.4345717
0000002969,28,2025,10961446069.636091,2029346448.14604,4024764610.8384447,-1995418162.6924047,1522009836.10953
0000002969,28,2026,10409233771.753271,1927112668.203877,3822006279.4951844,-1894893611.2913074,1445334501.1529078
0000002969,28,2027,12032175609.071806,2227575876.4509363,4417909304.5880785,-2190333428.137142,1670681907.3382022
0000002969,28,2028,15479619741.443499,2865818172.290892,5683723235.858269,-2817905063.5673766,2149363629.218169
0000002969,29,2024,15721203700.98368,2910543799.467034,5772426730.335785,-2861882930.868751,2182907849.6002755
0000002969,29,2025,17255443257.21818,3194585117.9454637,6335760530.570967,-3141175412.625503,2395938838.459098
0000002969,29,2026,17430785882.839874,3227047161.0238543,6400141889.553205,-3173094728.5293503,2420285370.767891
0000002969,29,2027,19638155651.70776,3635708387.9951334,7210632008.496886,-3574923620.501753,2726781290.9963503
0000002969,29,2028,22868035428.6959,4233671924.168168,8396561833.914182,-4162889909.7460136,3175253943.1261263
0000002969,30,2024,10599061559.730818,1962256420.6654027,3891706222.217353,-1929449801.5519502,1471692315.499052
0000002969,30,2025,15216074807.532125,2817026801.8674746,5586956229.330684,-2769929427.463209,2112770101.400606
0000002969,30,2026,17275593284.364273,3198315591.621947,6343159108.79229,-3144843517.170343,2398736693.71646
0000002969,30,2027,21639766277.071346,4006276412.263835,7945572595.57483,-3939296183.310995,3004707309.197876
0000002969,30,2028,17512103374.883396,3242101868.459563,6429999607.425439,-3187897738.965876,2431576401.344672
0000002969,31,2024,12327781142.709118,2282302783.460123,4526448149.097575,-2244145365.637452,1711727087.5950923
0000002969,31,2025,9258299046.42307,1714034459.1738963,3399412278.4421973,-1685377819.268301,1285525844.380422
0000002969,31,2026,11443446110.425413,2118581487.4435997,4201742784.5454063,-2083161297.1018066,1588936115.5826998
0000002969,31,2027,12249652618.557814,2267838465.342048,4497761339.245703,-2229922873.9036546,1700878849.006536
0000002969,31,2028,15774311460.897116,2920375900.383706,5791926551.007492,-2871550650.623786,2190281925.28778
0000002969,32,2024,17220270995.546204,3188073504.0722713,6322846169.348804,-3134772665.276533,2391055128.0542035
0000002969,32,2025,17957722444.09938,3324601519.472271,6593619612.331854,-3269018092.859583,2493451139.604203
0000002969,32,2026,20300163173.766605,3758269098.0512185,7453704357.707445,-3695435259.6562266,2818701823.538414
0000002969,32,2027,25207585606.31279,4666804360.622685,9255585241.987736,-4588780881.36505,3500103270.4670143
0000002969,32,2028,26950442836.043327,4989468095.526846,9895518153.704033,-4906050058.177187,3742101071.6451344
0000002969,33,2024,14803332779.103542,2740613839.191653,5435407838.828938,-2694793999.6372848,2055460379.3937397
0000002969,33,2025,16275642406.016037,3013189765.120127,5976002541.840681,-2962812776.720554,2259892323.8400955
0000002969,33,2026,19992048365.120045,3701226287.4059935,7340572425.110425,-3639346137.7044315,2775919715.554495
0000002969,33,2027,25182578631.093674,4662174696.2501745,9246403315.785059,-4584228619.534884,3496631022.1876307
0000002969,33,2028,28901819027.73905,5350735971.905308,10612013932.534279,-5261277960.628971,4013051978.928981
0000002969,34,2024,11687953237.215153,2163848294.9564905,4291519591.7977915,-2127671296.841301,1622886221.217368
0000002969,34,2025,10118917494.442324,1873364987.2448893,3715409515.578409,-1842044528.33352,1405023740.433667
0000002969,34,2026,10061468320.234188,1862729138.9373243,3694315637.8358283,-1831586498.898504,1397046854.2029932
0000002969,34,2027,8463728874.561598,1566931773.4674473,3107666290.8945847,-1540734517.4271374,1175198830.1005855
0000002969,34,2028,8842190953.192589,1636998320.3581228,3246627954.4325542,-1609629634.0744314,1227748740.2685921
0000002969,35,2024,18310615036.175488,3389934261.498933,6723192809.790655,-3333258548.2917223,2542450696.1242
0000002969,35,2025,18377956179.051872,3402401458.640817,6747918767.203616,-3345517308.562799,2551801093.9806128
0000002969,35,2026,19958424732.6273,3695001378.8729916,7328226681.192613,-3633225302.319621,2771251034.1547437
0000002969,35,2027,17332090510.98897,3208775201.1892037,6363903455.55868,-3155128254.369476,2406581400.891903
0000002969,35,2028,15150532974.702465,2804892719.8482885,5562890932.870116,-2757998213.0218277,2103669539.8862164
0000002969,36,2024,11908787960.481499,2204732513.92184,4372604493.680285,-2167871979.7584453,1653549385.44138
0000002969,36,2025,14606607063.002373,2704193039.354415,5363175152.085251,-2658982112.730836,2028144779.5158112
0000002969,36,2026,17024777296.657377,3151880793.643862,6251065848.036164,-3099185054.3923025,2363910595.2328963
0000002969,36,2027,15056873111.753763,2787553008.554603,5528501409.85854,-2740948401.3039365,2090664756.4159522
0000002969,36,2028,17560399779.97258,3251043219.5827007,6447732820.79882,-3196689601.216119,2438282414.6870255
0000002969,37,2024,12788627315.210327,2367621503.0310416,4695659159.610242,-2328037656.5792003,1775716127.273281
0000002969,37,2025,14370557105.574831,2660491949.2201905,5276503602.637411,-2616011653.4172206,1995368961.915143
0000002969,37,2026,16647337424.599634,3082003492.885997,6112479512.79109,-3030476019.905093,2311502619.6644974
0000002969,37,2027,14946081388.440636,2767041591.652021,5487821502.816011,-2720779911.1639905,2075281193.7390156
0000002969,37,2028,15504889744.470573,2870496532.295754,5693001739.191956,-2822505206.8962016,2152872399.2218156
0000002969,38,2024,11334182742.166883,2098353022.4327526,4161624050.6635604,-2063271028.2308078,1573764766.8245645
0000002969,38,2025,12144587556.209185,2248387253.362632,4459184116.67033,-2210796863.3076982,1686290440.0219738
0000002969,38,2026,13019648996.96378,2410391683.7474127,4780484453.932795,-2370092770.185382,1807793762.8105595
0000002969,38,2027,14327589835.109865,2652537207.01276,5260727112.154942,-2608189905.1421814,1989402905.2595701
0000002969,38,2028,13798548876.38984,2554593251.107506,5066476708.073805,-2511883456.966299,1915944938.3306293
0000002969,39,2024,12161140971.328554,2251451868.556993,4465262110.297969,-2213810241.740976,1688588901.4177446
0000002969,39,2025,17227331760.444355,3189380698.2213125,6325438702.898393,-3136058004.67708,2392035523.665984
0000002969,39,2026,15152851451.508396,2805321950.8677483,5563742218.671304,-2758420267.8035555,2103991463.1508112
0000002969,39,2027,22520050234.819164,4169247712.9176707,8268790508.441854,-4099542795.524183,3126935784.688253
0000002969,39,2028,24400424669.515102,4517370684.649037,8959216245.321003,-4441845560.671966,3388028013.4867783
0000002969,40,2024,15745623627.995014,2915064780.7161875,5781393107.345724,-2866328326.6295366,2186298585.537141
0000002969,40,2025,15685786227.858644,2903986788.3909407,5759422333.695652,-2855435545.3047113,2177990091.2932053
0000002969,40,2026,18683392306.19718,3458948351.7989016,6860067155.983383,-3401118804.1844816,2594211263.8491764
0000002969,40,2027,20462230395.549263,3788273400.293473,7513211325.5531025,-3724937925.2596297,2841205050.2201047
