API Key,depth,2022
RevenueFromContractWithCustomerExcludingAssessedTax,1,26914000000
CurrentFederalTaxExpenseBenefit,2,482000000
CurrentStateAndLocalTaxExpenseBenefit,2,42000000
DeferredFederalIncomeTaxExpenseBenefit,2,-420000000
NetIncomeLoss,2,9752000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5,9941000000
OperatingIncomeLoss,7,10041000000
GrossProfit,8,17475000000
Revenues,9,26914000000
CostOfRevenue,9,9439000000
OperatingExpenses,8,7434000000
ResearchAndDevelopmentExpense,10,5268000000
AmortizationOfIntangibleAssets,12,563000000
GoodwillImpairmentLoss,13,0
SellingGeneralAndAdministrativeExpense,9,2166000000
AllocatedShareBasedCompensationExpense,11,2004000000
NonoperatingIncomeExpense,7,-100000000
GainLossOnInvestments,10,100000000
InvestmentIncomeInterest,11,29000000
OtherNonoperatingIncomeExpense,8,107000000
IncomeTaxExpenseBenefit,5,189000000
CurrentIncomeTaxExpenseBenefit,6,595000000
CurrentForeignTaxExpenseBenefit,7,71000000
CurrentFederalTaxExpenseBenefit,8,482000000
CurrentStateAndLocalTaxExpenseBenefit,8,42000000
DeferredIncomeTaxExpenseBenefit,6,-406000000
DeferredForeignIncomeTaxExpenseBenefit,7,14000000
DeferredFederalIncomeTaxExpenseBenefit,8,-420000000
IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,6,-244000000
