API Key,depth,2022
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0,1143000000
NetCashProvidedByUsedInOperatingActivities,2,9108000000
DepreciationDepletionAndAmortization,5,1174000000
Depreciation,6,611000000
AmortizationOfIntangibleAssets,7,563000000
ShareBasedCompensation,6,2004000000
GainLossOnInvestments,5,100000000
DeferredIncomeTaxExpenseBenefit,6,-406000000
OtherNoncashIncomeExpense,5,-47000000
IncreaseDecreaseInAccountsReceivable,8,2215000000
IncreaseDecreaseInInventories,6,774000000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,6,1715000000
IncreaseDecreaseInAccountsPayable,7,568000000
IncreaseDecreaseInOtherNoncurrentLiabilities,7,192000000
NetCashProvidedByUsedInInvestingActivities,2,-9830000000
PaymentsToAcquireAvailableForSaleSecuritiesDebt,6,24787000000
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,7,1023000000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,7,15197000000
PaymentsToAcquireBusinessesNetOfCashAcquired,6,263000000
PaymentsForProceedsFromOtherInvestingActivities,4,24000000
NetCashProvidedByUsedInFinancingActivities,2,1865000000
PaymentsOfDividends,4,399000000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,4,1904000000
ProceedsFromPaymentsForOtherFinancingActivities,4,-7000000
InterestPaidNet,1,246000000
IncomeTaxesPaidNet,0,396000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0,1143000000
IncomeTaxesPaidNet,0,396000000
CashAndCashEquivalentsAtCarryingValue,1,1990000000
RepaymentsOfDebt,1,1000000000
CashAndCashEquivalentsAtCarryingValue,1,1990000000
NetCashProvidedByUsedInOperatingActivities,0,9108000000
InterestPaidNet,3,246000000
OperatingLeasePayments,3,154000000
ProceedsFromDebtNetOfIssuanceCosts,0,4977000000
